,Gene,Cluster
664,ENSG00000138600,4.0
665,ENSG00000101160,4.0
666,ENSG00000119787,4.0
667,ENSG00000105784,4.0
668,ENSG00000119878,4.0
669,ENSG00000155975,4.0
670,ENSG00000089327,4.0
671,ENSG00000128699,4.0
672,ENSG00000173889,4.0
673,ENSG00000121644,4.0
674,ENSG00000276148,4.0
675,ENSG00000205133,4.0
676,ENSG00000116406,4.0
677,ENSG00000188488,4.0
678,ENSG00000204482,4.0
679,ENSG00000168918,4.0
680,ENSG00000259399,4.0
681,ENSG00000274667,4.0
682,ENSG00000204642,4.0
683,ENSG00000138964,4.0
684,ENSG00000100055,4.0
685,ENSG00000165813,4.0
686,ENSG00000114353,4.0
687,ENSG00000005243,4.0
688,ENSG00000001561,4.0
689,ENSG00000128285,4.0
690,ENSG00000154639,4.0
691,ENSG00000144366,4.0
692,ENSG00000129028,4.0
693,ENSG00000174106,4.0
694,ENSG00000119965,4.0
695,ENSG00000103540,4.0
696,ENSG00000164463,4.0
697,ENSG00000124614,4.0
698,ENSG00000138468,4.0
699,ENSG00000111911,4.0
700,ENSG00000250790,4.0
701,ENSG00000198142,4.0
702,ENSG00000121481,4.0
703,ENSG00000137845,4.0
704,ENSG00000124333,4.0
705,ENSG00000121864,4.0
706,ENSG00000164088,4.0
707,ENSG00000131669,4.0
708,ENSG00000182628,4.0
709,ENSG00000260772,4.0
710,ENSG00000230551,4.0
711,ENSG00000154001,4.0
712,ENSG00000134108,4.0
713,ENSG00000174405,4.0
714,ENSG00000015592,4.0
715,ENSG00000259994,4.0
716,ENSG00000178662,4.0
717,ENSG00000258498,4.0
718,ENSG00000132953,4.0
719,ENSG00000164181,4.0
720,ENSG00000166741,4.0
721,ENSG00000128590,4.0
722,ENSG00000108298,4.0
723,ENSG00000185201,4.0
724,ENSG00000203668,4.0
725,ENSG00000113387,4.0
726,ENSG00000028137,4.0
727,ENSG00000057663,4.0
728,ENSG00000259332,4.0
729,ENSG00000169139,4.0
730,ENSG00000146122,4.0
731,ENSG00000281453,4.0
732,ENSG00000275052,4.0
733,ENSG00000261799,4.0
734,ENSG00000126458,4.0
735,ENSG00000173372,4.0
736,ENSG00000179021,4.0
737,ENSG00000123178,4.0
738,ENSG00000188739,4.0
739,ENSG00000143971,4.0
740,ENSG00000006611,4.0
741,ENSG00000275601,4.0
742,ENSG00000236714,4.0
743,ENSG00000136897,4.0
744,ENSG00000115107,4.0
745,ENSG00000125743,4.0
746,ENSG00000196465,4.0
747,ENSG00000117569,4.0
748,ENSG00000261542,4.0
749,ENSG00000167767,4.0
750,ENSG00000213281,4.0
751,ENSG00000154429,4.0
752,ENSG00000275395,4.0
753,ENSG00000132294,4.0
754,ENSG00000272842,4.0
755,ENSG00000105879,4.0
